Name	PeakFile/Annotation	#features[ref=8298]	Coverage(bp)[ref=6544374]	AvgFeatureSize[ref=788]	Overlap(#peaks)	Overlap(bp)	Expected Overlap(bp, gsize=2.00e+09)	Log Ratio Enrichment	Log P-value(+ underrepresented)	P-value
enhancers.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.txt	1769842	772130563	436	7811	6288429	2526555	0.91	-6404.48	0.00e+00
enhancers.Th.stim.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Th.stim.txt	67152	69450748	1034	2424	1367609	227255	1.79	-1822.70	0.00e+00
enhancers.Th17.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Th17.txt	33682	35425943	1051	1574	1013654	115920	2.17	-1751.99	0.00e+00
enhancers.Treg.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Treg.txt	33320	35145230	1054	1341	757268	115001	1.88	-1050.15	0.00e+00
enhancers.Th0.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Th0.txt	62122	65374328	1052	1631	847591	213917	1.38	-725.65	7.16e-316
enhancers.T.naive.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.T.naive.txt	18240	19135535	1049	891	445965	62615	1.96	-646.23	2.21e-281
enhancers.CD34.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.CD34.txt	37753	39580272	1048	581	293409	129514	0.82	-102.64	2.67e-45
enhancers.promoter-TSS.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.promoter-TSS.txt	11376	9428190	828	158	78660	30850	0.94	-35.09	5.78e-16
enhancers.5'.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.5'.txt	6256	644981	103	64	8862	2110	1.44	-9.14	1.07e-04
enhancers.Th1.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Th1.txt	32740	34772185	1062	318	138510	113781	0.20	-4.98	6.84e-03
enhancers.Other.T.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Other.T.txt	18502	19984323	1080	198	83374	65392	0.24	-4.54	1.06e-02
enhancers.basic.final.annotation	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.basic.final.annotation	1223986	76498776015	624991.0	8298	6552672	250318300	-3.64	-0.00	1.00e+00
enhancers.Intergenic.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Intergenic.txt	92465	74871258640	8097251.0	243	79440	244992759	-8.03	-0.00	1.00e+00
gwascatalog.proxy.disease.final.v2.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/gwascatalog.proxy.disease.final.v2.txt	22354	32999977646	14762441.0	8069	6392186	107982097	-2.83	-0.00	1.00e+00
gwascatalog.proxy.disease.v2.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/gwascatalog.proxy.disease.v2.txt	268093	11166	0	37	80	36	0.80	-0.00	1.00e+00
enhancers.basic.reordered.annotation	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.basic.reordered.annotation	2313110	76499695543	330721.0	8298	6561155	250321309	-3.64	-0.00	1.00e+00
enhancers.basic.annotation	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.basic.annotation	2313110	76499695543	330721.0	8298	6561155	250321309	-3.64	-0.00	1.00e+00
enhancers.basic.reordered.final.annotation	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.basic.reordered.final.annotation	1223989	76498776019	624991.0	8298	6552672	250318300	-3.64	-0.00	1.00e+00
gwascatalog.proxy.disease.final.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/gwascatalog.proxy.disease.final.txt	22354	32999977646	14762441.0	8069	6392186	107982097	-2.83	-0.00	1.00e+00
enhancers.other.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.other.txt	319878	335326322	1048	1790	1063346	1097250	-0.03	2.27	1.03e-01
