Name	PeakFile/Annotation	#features[ref=17313]	Coverage(bp)[ref=6951391]	AvgFeatureSize[ref=401]	Overlap(#peaks)	Overlap(bp)	Expected Overlap(bp, gsize=2.00e+09)	Log Ratio Enrichment	Log P-value(+ underrepresented)	P-value
enhancers.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.txt	1769842	772130563	436	12074	5481422	2683690	0.71	-5880.05	0.00e+00
enhancers.Th.stim.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Th.stim.txt	67152	69450748	1034	2793	1188754	241389	1.59	-2559.49	0.00e+00
enhancers.Th0.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Th0.txt	62122	65374328	1052	2510	916518	227221	1.39	-1572.97	0.00e+00
enhancers.Th17.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Th17.txt	33682	35425943	1051	1131	538378	123129	1.48	-986.93	0.00e+00
enhancers.T.naive.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.T.naive.txt	18240	19135535	1049	533	236236	66509	1.27	-334.23	6.99e-146
enhancers.Treg.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Treg.txt	33320	35145230	1054	761	310823	122154	0.93	-264.91	8.97e-116
enhancers.Th1.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Th1.txt	32740	34772185	1062	712	210035	120857	0.55	-71.59	8.07e-32
enhancers.CD34.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.CD34.txt	37753	39580272	1048	616	220069	137568	0.47	-56.29	3.59e-25
enhancers.Th2.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.Th2.txt	29372	31200703	1062	562	166954	108444	0.43	-37.25	6.64e-17
enhancers.other.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.other.txt	319878	335326322	1048	3634	1312886	1165492	0.12	-30.01	9.22e-14
enhancers.promoter-TSS.txt	/ye/netapp/jimmie.ye/tools/Homer/.//data/genomes/hg19//annotations/custom/enhancers.promoter-TSS.txt	11376	9428190	828	149	43387	32769	0.28	-5.81	2.99e-03
